team,pts,loc,week,opp,opts,win,lose
kc,14,home,16,lv,20,0,1
kc,25,home,17,cin,17,1,0
kc,13,away,18,lac,12,1,0
lv,17,away,1,den,16,1,0
lv,10,away,2,buf,38,0,1
lv,18,home,3,pit,23,0,1
lv,17,away,4,lac,24,0,1
lv,17,home,5,gb,13,1,0
lv,21,home,6,ne,17,1,0
lv,12,away,7,chi,30,0,1
lv,14,away,8,det,26,0,1
lv,30,home,9,nyg,6,1,0
lv,16,home,10,nyj,12,1,0
lv,13,away,11,mia,20,0,1
lv,17,home,12,kc,31,0,1
lv,0,home,14,min,3,0,1
lv,63,home,15,lac,21,1,0
lv,20,away,16,kc,14,1,0
lv,20,away,17,ind,23,0,1
lv,27,home,18,den,14,1,0
lac,34,home,1,mia,36,0,1
lac,24,away,2,ten,27,0,1
lac,28,away,3,min,24,1,0
lac,24,home,4,lv,17,1,0
lac,17,home,6,dal,20,0,1
lac,17,away,7,kc,31,0,1
lac,30,home,8,chi,13,1,0
lac,27,away,9,nyj,6,1,0
lac,38,home,10,det,41,0,1
lac,20,away,11,gb,23,0,1
lac,10,home,12,bal,20,0,1
lac,6,away,13,ne,0,1,0
lac,7,home,14,den,24,0,1
lac,21,away,15,lv,63,0,1
lac,22,home,16,buf,24,0,1
lac,9,away,17,den,16,0,1
lac,12,home,18,kc,13,0,1
lar,30,away,1,sea,13,1,0
lar,23,home,2,sf,30,0,1
lar,16,away,3,cin,19,0,1
lar,29,away,4,ind,23,1,0
lar,14,home,5,phi,23,0,1
lar,26,home,6,az,9,1,0
lar,17,home,7,pit,24,0,1
lar,20,away,8,dal,43,0,1
lar,3,away,9,gb,20,0,1
lar,17,home,11,sea,16,1,0
lar,37,away,12,az,14,1,0
lar,36,home,13,cle,19,1,0
lar,31,away,14,bal,37,0,1
lar,28,home,15,was,20,1,0
lar,30,home,16,no,22,1,0
lar,26,away,17,nyg,25,1,0
lar,21,away,18,sf,20,1,0
mia,36,away,1,lac,34,1,0
mia,24,away,2,ne,17,1,0
mia,70,home,3,den,20,1,0
mia,20,away,4,buf,48,0,1
mia,31,home,5,nyg,16,1,0
mia,42,home,6,car,21,1,0
mia,17,away,7,phi,31,0,1
mia,31,home,8,ne,17,1,0
mia,14,away,9,kc,21,0,1
mia,20,home,11,lv,13,1,0
mia,34,away,12,nyj,13,1,0
mia,45,away,13,was,15,1,0
mia,27,home,14,ten,28,0,1
mia,30,home,15,nyj,0,1,0
mia,22,home,16,dal,20,1,0
mia,19,away,17,bal,56,0,1
mia,14,home,18,buf,21,0,1
min,17,home,1,tb,20,0,1
min,28,away,2,phi,34,0,1
min,24,home,3,lac,28,0,1
min,21,away,4,car,13,1,0
min,20,home,5,kc,27,0,1
min,19,away,6,chi,18,1,0
min,22,home,7,sf,17,1,0
min,24,away,8,gb,10,1,0
min,31,away,9,atl,28,1,0
min,27,home,10,no,19,1,0
min,20,away,11,den,21,0,1
min,10,away,12,chi,12,0,1
min,3,away,14,lv,0,1,0
min,24,away,15,cin,27,0,1
min,24,home,16,det,30,0,1
min,10,home,17,gb,33,0,1
min,20,away,18,det,30,0,1
ne,20,home,1,phi,25,0,1
ne,17,home,2,mia,24,0,1
ne,15,away,3,nyj,10,1,0
ne,3,away,4,dal,38,0,1
ne,0,home,5,no,34,0,1
ne,17,away,6,lv,21,0,1
ne,29,home,7,buf,25,1,0
ne,17,away,8,mia,31,0,1
ne,17,home,9,was,20,0,1
ne,6,away,10,ind,10,0,1
